Arsenal,www.arsenal.com,Emarites Stadium
Aston Villa,www.avfc.co.uk,Villa Park
Barnsley,,Oakwell
Birmingham City,,St. Andrew's Trillion Trophy Stadium
Blackburn Rovers,,Ewood Park
Blackpool,,Bloomfield Road
Bolton Wanderers,,University Of Bolton Stadium
AFC Bournemouth,www.afcb.co.uk,Vitality Stadium
Bradford City,,Valley Parade
Brentford,www.brentfordfc.com,Brentford Community Stadium
Brighton and Hove Albion,www.brightonandhovealbion.com, Amex Stadium
Burnley,www.burnleyfootballclub.com,Turf Moor
Cardiff City,www.cardiffcityfc.co.uk,Cardiff City Stadium
Charlton Athletic,,The Valley
Chelsea,www.chelseafc.com,Stamford Bridge
Coventry City,,Highfield Road
Crystal Palace,www.cpfc.co.uk,Selhurst Park
Derby County,,Pride Park Stadium
Everton,www.evertonfc.com,Goodison Park
Fulham,www.fulhamfc.com,Craven Cottage
Huddersfield Town,www.htafc.com,John Smith's Stadium
Hull City,www.hullcitytigers.com,KCOM Stadium
Ipswich Town,,Portman Road
Leeds United,www.leedsunited.com/,Elland Road
Leicester City,www.lcfc.com,King Power Stadium
Liverpool,www.liverpoolfc.com,Anfield
Manchester City,www.mancity.com,Etihad Stadium
Manchester United,www.manutd.com,Old Trafford
Middlesbrough,www.mfc.co.uk,Riverside Stadium
Newcastle United,www.nufc.co.uk,St. James' Park
Norwich City,www.canaries.co.uk,Carrow Road
Nottingham Forest,,City Ground
Oldham Athletic,,Boundary Park
Portsmouth,,Fratton Park
Queens Park Rangers,,Loftus Road
Reading,,Madejski Stadium
Sheffield United,www.sufc.co.uk,Bramall Lane
Sheffield Wednesday,,Hillsborough
Southampton,www.southamptonfc.com,St.Mary's Stadium
Stoke City,www.stokecityfc.com,bet365 Stadium
Sunderland,www.safc.com,Stadium of Light
Swansea City,www.swanseacity.com,Liberty Stadium
Swindon Town,,County Ground
Tottenham Hotspur,www.tottenhamhotspur.com,Tottenham Hotspur Stadium
Watford,www.watfordfc.com,Vicarage Road
West Bromwich Albion,www.wba.co.uk,The Hawthorns
West Ham United,www.whufc.com,London Stadium
Wigan Athletic,,DW Stadium
Wimbledon,,Selhurst Park
Wolverhampton Wanderers,www.wolves.co.uk,Molineux Stadium