Aaron Ramsey,England,2003-01-21,,,Midfielder
Max Aarons,England,2000-01-04,178cm,69kg,Defender
Abdul Rahman Baba,Ghana,1994-07-02,180cm,,Defender
Tammy Abraham,England,1997-10-02,190cm,,Forward
Adam Armstrong,England,1997-02-10,172cm,69kg,Forward
Che Adams,Scotland,1996-07-13,175cm,70kg,Forward
Omotayo Adaramola,Ireland,2003-11-13,,,Defender
Adrián,Spain,1987-01-03,190cm,80kg,Goalkeeper
Sergio Agüero,Argentina,1988-06-02,173cm,,Forward
Derek Agyakwa,Netherlands,2001-12-19,,,Defender
Ahmed El Mohamady,Egypt,1987-09-09,183cm,,Defender
Rayan Aït-Nouri,France,2001-06-06,179cm,70kg,Defender
Kristoffer Ajer,Norway,1998-04-17,196cm,84kg,Defender
Nathan Aké,Netherlands,1995-02-18,180cm,75kg,Defender
Marc Albrighton,England,1989-11-18,175cm,74kg,Midfielder
Toby Alderweireld,Belgium,1989-03-02,186cm,,Defender
Ryan Alebiosu,England,2001-12-17,,,Defender
Alejandro Garnacho,Argentina,2004-07-01,180cm,,Midfielder
Ajibola Alese,England,2001-01-17,,,Defender
Alex Telles,Brazil,1992-12-15,181cm,71kg,Defender
Trent Alexander-Arnold,England,1998-10-07,175cm,69kg,Defender
Ezgjan Alioski,North Macedonia,1992-02-12,173cm,,Midfielder
Alisson,Brazil,1992-10-02,191cm,91kg,Goalkeeper
Allan,Brazil,1991-01-08,173cm,73kg,Midfielder
Dele Alli,England,1996-04-11,188cm,76kg,Midfielder
Miguel Almirón,Paraguay,1994-02-10,174cm,70kg,Midfielder
Marcos Alonso,Spain,1990-12-28,188cm,84kg,Defender
Jaime Alvarado,Colombia,1999-07-26,179cm,,Midfielder
Julián Álvarez,Argentina,2000-01-31,173cm,,Forward
Will Alves,England,2005-02-04,,,Forward
Steven Alzate,Colombia,1998-09-08,180cm,75kg,Midfielder
Daniel Amartey,Ghana,1994-12-21,186cm,79kg,Defender
Ethan Ampadu,Wales,2000-09-14,183cm,,Defender
Joachim Andersen,Denmark,1996-05-31,192cm,90kg,Defender
Joseph Anderson,England,2001-02-06,,,Defender
Florin Andone,Romania,1993-04-11,180cm,,Forward
André Gomes,Portugal,1993-07-30,188cm,84kg,Midfielder
Andreas Pereira,Brazil,1996-01-01,178cm,,Midfielder
Vincent Angelini,Scotland,2003-09-12,186cm,,Goalkeeper
Angeliño,Spain,1997-01-04,175cm,,Defender
Faustino Anjorin,England,2001-11-23,185cm,,Midfielder
Michail Antonio,Jamaica,1990-03-28,180cm,82kg,Forward
Keenan Appiah-Forson,England,2001-10-16,,,Midfielder
Billy Arce,Ecuador,1998-07-12,178cm,,Midfielder
Cameron Archer,England,2001-12-09,,,Forward
Alphonse Areola,France,1993-02-27,195cm,94kg,Goalkeeper
Kepa Arrizabalaga,Spain,1994-10-03,189cm,84kg,Goalkeeper
Harrison Ashby,Scotland,2001-11-14,,,Defender
Yaser Asprilla,Colombia,2003-11-19,185cm,,Midfielder
Ryan Astley,Wales,2001-10-04,,,Defender
Christian Atsu,Ghana,1992-01-10,165cm,,Midfielder
Pierre-Emerick Aubameyang,Gabon,1989-06-18,187cm,,Forward
Serge Aurier,Cote D’Ivoire,1992-12-24,176cm,,Defender
Brandon Austin,England,1999-01-07,188cm,82kg,Goalkeeper
Zach Awe,England,2004-01-09,,,Defender
Taiwo Awoniyi,Nigeria,1997-08-12,183cm,,Forward
Jordan Ayew,Ghana,1991-09-11,182cm,80kg,Forward
Luke Ayling,England,1991-08-25,185cm,72kg,Defender
Miguel Azeez,England,2002-09-20,,,Midfielder
César Azpilicueta,Spain,1989-08-28,178cm,76kg,Defender
Kwadwo Baah,Germany,2003-01-27,,,Midfielder
Daniel Bachmann,Austria,1994-07-09,191cm,81kg,Goalkeeper
Leon Bailey,Jamaica,1997-08-09,178cm,77kg,Forward
Eric Bailly,Cote D’Ivoire,1994-04-12,187cm,77kg,Defender
Tiemoué Bakayoko,France,1994-08-17,185cm,,Midfielder
Lewis Baker,England,1995-04-25,182cm,,Midfielder
James Balagizi,England,2003-09-20,,,Midfielder
Fabián Balbuena,Paraguay,1991-08-23,188cm,,Defender
Ellery Balcombe,England,1999-10-15,190cm,,Goalkeeper
Gareth Bale,Wales,1989-07-16,185cm,,Forward
Folarin Balogun,England,2001-07-03,178cm,,Forward
Tudor Baluta,Romania,1999-03-27,192cm,80kg,Defender
Patrick Bamford,England,1993-09-05,185cm,71kg,Forward
Beni Baningime,DR Congo,1998-09-09,178cm,,Midfielder
Scott Banks,Scotland,2001-09-26,,,Midfielder
Shandon Baptiste,Grenada,1998-04-08,175cm,71kg,Midfielder
Daniel Barden,Wales,2001-01-02,195cm,,Goalkeeper
Phil Bardsley,Scotland,1985-06-28,180cm,74kg,Defender
Ross Barkley,England,1993-12-05,189cm,76kg,Midfielder
Ashley Barnes,England,1989-10-30,186cm,77kg,Forward
Mason Barrett,England,1999-09-24,,,Defender
Louie Barry,England,2003-06-21,,,Forward
Lewis Bate,England,2002-10-28,,,Midfielder
Michy Batshuayi,Belgium,1993-10-02,184cm,,Forward
Nathan Baxter,England,1998-11-08,191cm,,Goalkeeper
Mads Bech Sørensen,Denmark,1999-01-07,189cm,92kg,Defender
Owen Beck,Wales,2002-08-09,,,Defender
Jan Bednarek,Poland,1996-04-12,189cm,77kg,Defender
Asmir Begovic,Bosnia & Herzegovina,1987-06-20,199cm,101kg,Goalkeeper
Héctor Bellerín,Spain,1995-03-19,178cm,,Defender
Filip Benkovic,Croatia,1997-07-13,194cm,,Defender
J'Neil Bennett,England,2001-12-07,,,Midfielder
Saïd Benrahma,Algeria,1995-08-10,172cm,67kg,Forward
Josh Benson,England,1999-12-05,175cm,,Midfielder
Rodrigo Bentancur,Uruguay,1997-06-25,187cm,72kg,Midfielder
Christian Benteke,Belgium,1990-12-03,190cm,83kg,Forward
Gaetano Berardi,Switzerland,1988-08-21,179cm,,Defender
Lucas Bergström,Finland,2002-09-05,,,Goalkeeper
Steven Bergwijn,Netherlands,1997-10-08,178cm,78kg,Forward
Adrián Bernabé,Spain,2001-05-26,170cm,,Midfielder
Bernard,Brazil,1992-09-08,164cm,,Forward
Bernardo,Brazil,1995-05-14,186cm,,Defender
Bernardo Silva,Portugal,1994-08-10,173cm,64kg,Midfielder
Ryan Bertrand,England,1989-08-05,179cm,85kg,Defender
Muhamed Besic,Bosnia & Herzegovina,1992-09-10,180cm,,Midfielder
Marcus Bettinelli,England,1992-05-24,194cm,82kg,Goalkeeper
Mads Bidstrup,Denmark,2001-02-25,175cm,,Midfielder
Mika Biereth,England,2003-02-08,,,Forward
Nathan Bishop,England,1999-10-15,185cm,,Goalkeeper
Yves Bissouma,Mali,1996-08-30,182cm,80kg,Midfielder
Harvey Blair,England,2003-09-14,,,Forward
Oscar Bobb,Norway,2003-07-12,,,Midfielder
Lamare Bogarde,Netherlands,2004-01-05,,,Midfielder
Mateusz Bogusz,Poland,2001-08-22,175cm,,Midfielder
Bendeguz Bolla,Hungary,1999-11-22,,,Defender
Luke Bolton,England,1999-10-07,174cm,,Midfielder
Willy Boly,Cote D’Ivoire,1991-02-03,195cm,92kg,Defender
Jamie Bowden,Ireland,2001-07-09,,,Midfielder
Jarrod Bowen,England,1996-12-20,175cm,70kg,Forward
Conor Bradley,Northern Ireland,2003-07-09,,,Midfielder
Robbie Brady,Ireland,1992-01-14,176cm,,Midfielder
Jarrad Branthwaite,England,2002-06-27,195cm,82kg,Defender
Sammy Braybrooke,England,2004-03-12,,,Midfielder
Mungo Bridge,England,2000-09-12,,,Forward
Nathan Broadhead,Wales,1998-04-05,178cm,,Forward
Armando Broja,Albania,2001-09-10,191cm,,Forward
Josh Brownhill,England,1995-12-19,180cm,69kg,Midfielder
Bruno Fernandes,Portugal,1994-09-08,179cm,69kg,Midfielder
Bruno Guimarães,Brazil,1997-11-16,182cm,74kg,Midfielder
Bruno Jordão,Portugal,1998-10-12,180cm,,Midfielder
Lewis Brunt,England,2000-11-06,,,Midfielder
Emiliano Buendía,Argentina,1996-12-25,172cm,72kg,Midfielder
Hugo Bueno,Spain,2002-09-18,180cm,73kg,Defender
Dan Burn,England,1992-05-09,198cm,87kg,Defender
Finley Burns,England,2003-06-17,,,Defender
Jack Butland,England,1993-03-10,196cm,95kg,Goalkeeper
Sam Byram,England,1993-09-16,180cm,72kg,Defender
Willy Caballero,Argentina,1981-09-28,186cm,81kg,Goalkeeper
Gary Cahill,England,1985-12-19,193cm,,Defender
Moisés Caicedo,Ecuador,2001-11-02,178cm,73kg,Midfielder
Jake Cain,England,2001-09-02,,,Midfielder
Caleb Chukwuemeka,England,2002-01-25,,,Forward
Callum Rowe,England,1999-09-02,,,Defender
Dominic Calvert-Lewin,England,1997-03-16,187cm,71kg,Forward
Leonardo Campana,Ecuador,2000-07-24,187cm,,Forward
Chem Campbell,Wales,2002-12-30,,,Midfielder
Sergi Canós,Spain,1997-02-02,177cm,75kg,Forward
Todd Cantwell,England,1998-02-27,177cm,,Midfielder
Elia Caprile,Italy,2001-08-25,,,Goalkeeper
Carlos Vinícius,Brazil,1995-03-25,190cm,,Forward
Andy Carroll,England,1989-01-06,193cm,,Forward
Scott Carson,England,1985-09-03,190cm,76kg,Goalkeeper
Cameron Carter-Vickers,United States,1997-12-31,183cm,,Defender
Oliver Casey,England,2000-10-14,188cm,,Defender
Matthew Cash,Poland,1997-08-07,185cm,,Defender
Timothy Castagne,Belgium,1995-12-05,185cm,80kg,Defender
Craig Cathcart,Northern Ireland,1989-02-06,188cm,73kg,Defender
Edinson Cavani,Uruguay,1987-02-14,184cm,71kg,Forward
Dani Ceballos,Spain,1996-08-07,179cm,,Midfielder
Cédric Soares,Portugal,1991-08-31,172cm,67kg,Defender
Kallum Cesay,England,2002-09-04,,,Defender
Trevoh Chalobah,England,1999-07-05,190cm,75kg,Defender
Calum Chambers,England,1995-01-20,182cm,66kg,Defender
Shea Charles,Northern Ireland,2003-11-05,,,Defender
Kgaogelo Chauke,England,2003-01-08,,,Midfielder
Daniel Chesters,England,2002-04-04,,,Midfielder
Ben Chilwell,England,1996-12-21,178cm,77kg,Defender
Chiquinho,Portugal,2000-02-05,179cm,73kg,Forward
Hamza Choudhury,England,1997-10-01,178cm,64kg,Midfielder
Benjamin Chrisene,England,2004-01-12,,,Midfielder
Andreas Christensen,Denmark,1996-04-10,187cm,82kg,Defender
Christian Marques,Portugal,2003-01-15,187cm,,Defender
Carney Chukwuemeka,England,2003-10-20,,,Midfielder
Dennis Cirkin,England,2002-04-06,181cm,,Defender
CJ Egan-Riley,England,2003-01-02,,,Defender
Ciaran Clark,Ireland,1989-09-26,185cm,88kg,Defender
Harry Clarke,England,2001-03-02,,,Defender
Jake Clarke-Salter,England,1997-09-22,188cm,,Defender
Leighton Clarkson,England,2001-10-19,175cm,,Midfielder
Tom Cleverley,England,1989-08-12,175cm,67kg,Midfielder
Nathaniel Clyne,England,1991-04-05,175cm,67kg,Defender
Conor Coady,England,1993-02-25,185cm,73kg,Midfielder
Alex Cochrane,England,2000-04-21,,,Defender
Séamus Coleman,Ireland,1988-10-11,177cm,67kg,Defender
Nathan Collins,Ireland,2001-04-30,193cm,,Defender
Aaron Connolly,Ireland,2000-01-28,,,Forward
Kamil Conteh,England,2002-12-26,177cm,,Midfielder
Liam Cooper,Scotland,1991-08-30,180cm,73kg,Defender
Theo Corbeanu,Canada,2002-05-17,190cm,,Forward
Jack Cork,England,1989-06-25,183cm,70kg,Midfielder
Maxwel Cornet,Cote D’Ivoire,1996-09-27,179cm,69kg,Midfielder
Dara Costelloe,Ireland,2002-12-11,,,Forward
Ben Cottrell,England,2001-10-31,,,Midfielder
Vladimir Coufal,Czech Republic,1992-08-22,179cm,76kg,Defender
Conor Coventry,Ireland,2000-03-25,177cm,,Midfielder
Matthew Cox,England,2003-05-02,,,Goalkeeper
Charlie Cresswell,England,2002-08-17,,,Defender
Kane Crichlow,Bermuda,2000-08-21,,,Midfielder
Cristiano Ronaldo,Portugal,1985-02-05,187cm,83kg,Forward
Cucho Hernández,Colombia,1999-04-20,176cm,73kg,Forward
Marc Cucurella,Spain,1998-07-22,172cm,66kg,Defender
Jamie Cumming,England,1999-09-04,186cm,,Goalkeeper
Luke Cundle,England,2002-04-26,,,Midfielder
Patrick Cutrone,Italy,1998-01-03,183cm,,Forward
Pontus Dahlberg,Sweden,1999-01-21,194cm,,Goalkeeper
Patson Daka,Zambia,1998-10-09,183cm,71kg,Forward
Sam Dalby,England,1999-12-07,,,Forward
Vontae Daley-Campbell,England,2001-04-02,,,Defender
Stuart Dallas,Northern Ireland,1991-04-19,183cm,81kg,Midfielder
Henrik Dalsgaard,Denmark,1989-07-27,192cm,,Defender
Daniel Podence,Portugal,1995-10-21,165cm,58kg,Midfielder
Luke Daniels,England,1988-01-05,185cm,,Goalkeeper
Scott Dann,England,1987-02-14,188cm,,Defender
Karl Darlow,England,1990-10-08,190cm,88kg,Goalkeeper
Josh Dasilva,England,1998-10-23,184cm,75kg,Midfielder
David Luiz,Brazil,1987-04-22,189cm,,Defender
Tom Davies,England,1998-06-30,180cm,70kg,Midfielder
Keinan Davis,England,1998-02-13,191cm,,Forward
Craig Dawson,England,1990-05-06,188cm,82kg,Defender
Laurens De Bock,Belgium,1992-11-07,179cm,74kg,Defender
Lucas De Bolle,Scotland,2002-10-22,,,Midfielder
Kevin De Bruyne,Belgium,1991-06-28,181cm,68kg,Midfielder
David de Gea,Spain,1990-11-07,192cm,76kg,Goalkeeper
Troy Deeney,England,1988-06-29,183cm,,Forward
Liam Delap,England,2003-02-08,,,Forward
Fabian Delph,England,1989-11-21,174cm,60kg,Midfielder
Lars Dendoncker,Belgium,2001-04-03,,,Defender
Emmanuel Dennis,Nigeria,1997-11-15,175cm,67kg,Forward
Halil Dervisoglu,Turkey,1999-12-08,183cm,,Forward
Alfie Devine,England,2004-08-01,179cm,75kg,Midfielder
Kiernan Dewsbury-Hall,England,1998-09-06,,,Midfielder
Amad Diallo,Cote D’Ivoire,2002-07-11,173cm,,Forward
Luis Díaz,Colombia,1997-01-13,178cm,65kg,Forward
Thomas Dickson-Peters,Scotland,2002-09-16,,,Forward
Eric Dier,England,1994-01-15,188cm,88kg,Defender
Lucas Digne,France,1993-07-20,178cm,74kg,Defender
Diogo Dalot,Portugal,1999-03-18,183cm,76kg,Defender
Diogo Jota,Portugal,1996-12-04,178cm,68kg,Forward
Issa Diop,France,1997-01-09,194cm,92kg,Defender
Elijah Dixon-Bonner,England,2001-01-01,,,Midfielder
Moussa Djenepo,Mali,1998-06-15,177cm,65kg,Midfielder
Lewis Dobbin,England,2003-01-03,,,Forward
Owen Dodgson,England,2003-03-19,,,Defender
Matt Doherty,Ireland,1992-01-16,182cm,80kg,Defender
Domingos Quina,Portugal,1999-11-18,179cm,,Midfielder
Abdoulaye Doucouré,Mali,1993-01-01,184cm,75kg,Midfielder
Douglas Luiz,Brazil,1998-05-09,175cm,66kg,Midfielder
Kieran Dowell,England,1997-10-10,175cm,70kg,Midfielder
Tommy Doyle,England,2001-10-17,,,Midfielder
Cody Drameh,England,2001-12-08,,,Defender
Danny Drinkwater,England,1990-03-05,178cm,,Midfielder
Anthony Driscoll-Glennon,England,1999-11-26,181cm,,Defender
Martin Dúbravka,Slovakia,1989-01-15,190cm,83kg,Goalkeeper
Shane Duffy,Ireland,1992-01-01,193cm,76kg,Defender
Paul Dummett,Wales,1991-09-26,183cm,82kg,Defender
Lewis Dunk,England,1991-11-21,192cm,88kg,Defender
Jimmy Dunne,Ireland,1997-10-19,183cm,,Defender
Frankie Ealing,England,2004-07-14,,,Defender
Ederson,Brazil,1993-08-17,188cm,86kg,Goalkeeper
Odsonne Édouard,France,1998-01-16,187cm,83kg,Forward
Samuel Edozie,England,2003-01-28,,,Forward
Edward Rowe,England,2003-10-17,,,Midfielder
Pierre Ekwah,France,2002-01-15,,,Defender
Anwar El Ghazi,Netherlands,1995-05-03,188cm,90kg,Midfielder
Anthony Elanga,Sweden,2002-04-27,178cm,,Forward
Robert Elliot,Ireland,1986-04-30,190cm,94kg,Goalkeeper
Harvey Elliott,England,2003-04-04,170cm,,Midfielder
Mohamed Elyounoussi,Norway,1994-08-04,178cm,70kg,Midfielder
Emerson,Italy,1994-08-03,176cm,,Defender
Emerson Royal,Brazil,1999-01-14,181cm,79kg,Defender
Emiliano Marcondes,Denmark,1995-03-09,182cm,,Midfielder
Björn Engels,Belgium,1994-09-15,193cm,,Defender
Christian Eriksen,Denmark,1992-02-14,182cm,76kg,Midfielder
Peter Etebo,Nigeria,1995-11-09,172cm,70kg,Midfielder
Jonny Evans,Northern Ireland,1988-01-03,188cm,77kg,Defender
Oliver Ewing,Wales,2003-01-03,,,Midfielder
Timothy Eyoma,England,2000-01-29,183cm,,Defender
Eberechi Eze,England,1998-06-29,,,Midfielder
Lukasz Fabianski,Poland,1985-04-18,190cm,83kg,Goalkeeper
Fabinho,Brazil,1993-10-23,188cm,78kg,Midfielder
Fábio Silva,Portugal,2002-07-19,185cm,75kg,Forward
Malachi Fagan-Walcott,England,2002-03-11,,,Defender
Akin Famewo,England,1998-11-09,187cm,,Defender
Juan Familia-Castillo,Netherlands,2000-01-13,,,Defender
Josh Feeney,England,2005-05-06,,,Midfielder
Felipe Anderson,Brazil,1993-04-15,175cm,,Midfielder
Felix Nmecha,Germany,2000-10-10,188cm,,Midfielder
Kiko Femenía,Spain,1991-02-02,176cm,61kg,Defender
Evan Ferguson,Ireland,2004-10-19,,,Forward
Álvaro Fernández,Spain,1998-04-13,185cm,75kg,Goalkeeper
Fernandinho,Brazil,1985-05-04,179cm,67kg,Midfielder
Will Ferry,Ireland,2000-12-07,176cm,,Midfielder
Ryan Finnigan,England,2003-09-23,,,Midfielder
Junior Firpo,Spain,1996-08-22,184cm,78kg,Defender
William Fish,England,2003-02-17,185cm,,Defender
Ethan Fitzhugh,England,2002-11-27,,,Midfielder
Ashley Fletcher,England,1995-10-02,185cm,,Forward
Marcelo Flores,Mexico,2003-10-01,,,Midfielder
Shane Flynn,Ireland,2001-10-14,,,Midfielder
Phil Foden,England,2000-05-28,171cm,70kg,Midfielder
Wesley Fofana,France,2000-12-17,190cm,,Defender
Shaqai Forde,England,2004-05-05,,,Midfielder
Pablo Fornals,Spain,1996-02-22,178cm,67kg,Midfielder
Adam Forshaw,England,1991-10-08,174cm,71kg,Midfielder
Marcus Forss,Finland,1999-06-18,182cm,,Forward
Fraser Forster,England,1988-03-17,201cm,93kg,Goalkeeper
Ben Foster,England,1983-04-03,193cm,79kg,Goalkeeper
Tariqe Fosu-Henry,Ghana,1995-11-05,180cm,75kg,Midfielder
Ryan Fraser,Scotland,1994-02-24,163cm,70kg,Midfielder
Melkamu Frauendorf,Germany,2004-01-12,,,Forward
Fred,Brazil,1993-03-05,169cm,64kg,Midfielder
Ryan Fredericks,England,1992-10-10,181cm,74kg,Defender
Christian Fuchs,Austria,1986-04-07,187cm,,Defender
James Furlong,Ireland,2002-06-07,,,Defender
Gabriel Jesus,Brazil,1997-04-03,175cm,73kg,Forward
Gabriel Magalhães,Brazil,1997-12-19,190cm,78kg,Defender
Gabriel Martinelli,Brazil,2001-06-18,178cm,75kg,Midfielder
Ethan Galbraith,Northern Ireland,2001-05-11,175cm,,Midfielder
Conor Gallagher,England,2000-02-06,182cm,,Midfielder
Eric García,Spain,2001-01-09,182cm,,Defender
James Garner,England,2001-03-13,186cm,,Midfielder
Dwight Gayle,England,1989-10-17,174cm,78kg,Forward
Jean-Philippe Gbamin,Cote D’Ivoire,1995-09-25,186cm,,Midfielder
Joe Gelhardt,England,2002-05-04,175cm,65kg,Forward
Rachid Ghezzal,Algeria,1992-05-09,182cm,,Midfielder
Saman Ghoddos,Iran,1993-09-06,176cm,75kg,Forward
Dimitris Giannoulis,Greece,1995-10-17,175cm,62kg,Defender
Liam Gibbs,England,2002-12-16,,,Midfielder
Morgan Gibbs-White,England,2000-01-27,171cm,,Midfielder
Ben Gibson,England,1993-01-15,185cm,78kg,Defender
Bryan Gil,Spain,2001-02-11,175cm,,Forward
Alex Gilbert,Ireland,2001-12-28,,,Forward
Ryan Giles,England,2000-01-26,179cm,,Midfielder
Mark Gillespie,England,1992-03-27,192cm,83kg,Goalkeeper
Billy Gilmour,Scotland,2001-06-11,166cm,60kg,Midfielder
Olivier Giroud,France,1986-09-30,192cm,,Forward
Ben Godfrey,England,1998-01-15,183cm,74kg,Defender
Pierluigi Gollini,Italy,1995-03-18,194cm,94kg,Goalkeeper
Claudio Gomes,France,2000-07-23,164cm,,Midfielder
Joseph Gomez,England,1997-05-23,188cm,77kg,Defender
Charlie Goode,England,1995-08-03,196cm,,Defender
Lewis Gordon,England,2001-02-12,,,Defender
Dan Gosling,England,1990-02-01,183cm,79kg,Midfielder
Kamil Grabara,Poland,1999-01-08,195cm,,Goalkeeper
Lee Grant,England,1983-01-27,193cm,83kg,Goalkeeper
Demarai Gray,England,1996-06-28,180cm,74kg,Forward
Jack Grealish,England,1995-09-10,175cm,68kg,Midfielder
Sam Greenwood,England,2002-01-26,185cm,,Forward
Pascal Groß,Germany,1991-06-15,181cm,78kg,Midfielder
Marko Grujic,Serbia,1996-04-13,191cm,,Midfielder
Vicente Guaita,Spain,1987-01-10,190cm,81kg,Goalkeeper
Jóhann Gudmundsson,Iceland,1990-10-27,186cm,78kg,Midfielder
Marc Guéhi,England,2000-07-13,182cm,82kg,Defender
Mattéo Guendouzi,France,1999-04-14,185cm,,Midfielder
Frédéric Guilbert,France,1994-12-24,178cm,,Defender
Ilkay Gündogan,Germany,1990-10-24,180cm,80kg,Midfielder
Angus Gunn,England,1996-01-22,196cm,77kg,Goalkeeper
Patrik Gunnarsson,Iceland,2000-11-15,190cm,84kg,Goalkeeper
Peter Gwargis,Sweden,2000-09-04,,,Midfielder
Viktor Gyökeres,Sweden,1998-06-04,187cm,,Forward
Micah Hamilton,England,2003-11-13,,,Midfielder
Grant Hanley,Scotland,1991-11-20,187cm,81kg,Defender
Reece Hannam,England,2000-09-11,,,Defender
Bjorn Hardley,Netherlands,2002-12-19,,,Defender
Jack Harrison,England,1996-11-20,175cm,70kg,Midfielder
Harrison Sohna,England,2002-07-01,,,Midfielder
Joe Hart,England,1987-04-19,196cm,,Goalkeeper
Taylor Harwood-Bellis,England,2002-01-30,188cm,,Defender
Kortney Hause,England,1995-07-16,191cm,77kg,Midfielder
Kai Havertz,Germany,1999-06-11,188cm,83kg,Midfielder
Kaine Hayden,England,2002-10-23,,,Defender
Maxwell Haygarth,England,2002-01-21,,,Midfielder
Tom Heaton,England,1986-04-15,188cm,85kg,Goalkeeper
Karl Hein,Estonia,2002-04-13,193cm,,Goalkeeper
Philip Heise,Germany,1991-06-20,184cm,,Defender
Hélder Costa,Angola,1994-01-12,178cm,,Forward
Mark Helm,England,2001-10-21,,,Midfielder
Stephen Henderson,Ireland,1988-05-02,193cm,,Goalkeeper
Jeff Hendrick,Ireland,1992-01-31,185cm,,Midfielder
Wayne Hennessey,Wales,1987-01-24,198cm,90kg,Goalkeeper
Rico Henry,England,1997-07-08,170cm,67kg,Defender
Jack Henry-Francis,Ireland,2003-09-23,,,Midfielder
Onel Hernández,Cuba,1993-02-01,172cm,,Midfielder
James Hillson,England,2001-01-14,,,Goalkeeper
Leo Fuhr Hjelde,Norway,2003-08-26,188cm,,Defender
Wesley Hoedt,Netherlands,1994-03-06,188cm,,Defender
Ki-Jana Hoever,Netherlands,2002-01-18,180cm,65kg,Midfielder
Rob Holding,England,1995-09-20,189cm,75kg,Defender
Mason Holgate,England,1996-10-22,184cm,63kg,Defender
Nathan Holland,England,1998-06-19,178cm,,Midfielder
Conor Hourihane,Ireland,1991-02-02,180cm,,Midfielder
Callum Hudson-Odoi,England,2000-11-07,182cm,76kg,Forward
Niall Huggins,Wales,2000-12-18,,,Defender
Will Hughes,England,1995-04-17,185cm,74kg,Midfielder
Joe Hugill,England,2003-10-19,,,Forward
Joseph Hungbo,England,2000-01-15,,,Midfielder
Mackenzie Hunt,England,2001-11-14,,,Midfielder
